Date of Final Decision,Submission Number,Device,Company,Panel (Lead),Primary Product Code
02/22/2024,K233749,Revolution Ascend Sliding,"GE Hangwei Medical Systems Co., Ltd.",Radiology,JAK
02/21/2024,K232148,X-Guide Surgical Navigation System,"X-Nav Technologies, LLC",Dental,QRY
02/15/2024,K232915,EpiMonitor,Empatica Srl,Neurology,POS
02/13/2024,K233788,"EPIQ Series Diagnostic Ultrasound System, Affiniti Series Diagnostic Ultrasound System",Philips Ultrasound LLC,Radiology,IYN
02/13/2024,K231855,QOCA® image Smart RT Contouring System,Quanta Computer Inc.,Radiology,QKB
02/09/2024,K231355,Aurora,EnsoData,Anesthesiology,MNR
02/08/2024,K233080,HealthFLD,Nano-X AI Ltd.,Radiology,JAK
02/06/2024,DEN230041,Sleep Apnea Feature,"Samsung Electronics Co., Ltd",Anesthesiology,QZW
02/05/2024,K232363,"Viz HDS, Viz Volume Plus, Viz ICH+","Viz.ai, Inc.",Radiology,QIH
01/31/2024,DEN210035,Genius Digital Diagnostics System with the Genius Cervical AI algorithm,Hologic Inc.,Pathology,QYV
01/31/2024,K231396,CEPHX- Cephalometric Analysis Software,Orca Dental AI LTD,Radiology,LLZ
01/24/2024,K233195,"Aplio i900, Aplio i800 and Aplio i700 Software V8.1 Diagnostic Ultrasound System",Canon Medical Systems Corporation,Radiology,IYN
01/19/2024,K233728,SIGNA Champion,GE Healthcare (Tianjin) Company Limited,Radiology,LNH
01/19/2024,K232156,Rapid ASPECTS (v3),"iSchemaView, Inc.",Radiology,POK
01/18/2024,K232698,NemoScan,Software Nemotec S.L.,Radiology,QIH
01/17/2024,K231871,Radify Triage,Envisionit DeepAI Ltd,Radiology,QFM
01/16/2024,K233512,Rapid (6.0),"iSchemaView, Inc.",Radiology,QIH
01/13/2024,K233216,CLEWICU System,Clew Medical Ltd.,Cardiovascular,QNL
01/12/2024,K233677,Biograph VK10,"Siemens Medical Solutions USA, Inc.",Radiology,KPS
01/12/2024,K233964,GI Genius Module 100 (GGM100.US); GI Genius Module 200 (GGM200.US); ColonPRO 4.0 (CPRO40.US),Cosmo Artificial Intelligence - AI Ltd,Gastroenterology-Urology,QNP
01/12/2024,DEN230008,DermaSensor,DermaSensor Inc.,General and Plastic Surgery,QZS
01/12/2024,DEN220040,Fibresolve,"Imvaria, Inc",Radiology,QWO
01/11/2024,DEN220066,BrainSee,"Darmiyan, Inc.",Neurology,QWT
01/11/2024,K232250,SurgiCount+ System,Stryker Instruments,General Hospital,PBZ
01/08/2024,K231324,DASI Dimensions (V1.0),DASI Simulations,Radiology,QIH
01/08/2024,K232412,LungQ v3.0.0,Thirona BV,Radiology,JAK
01/07/2024,K231068,autoSCORE,Holberg EEG AS,Neurology,OMB
01/05/2024,K231917,VEA Align,EOS imaging,Radiology,QIH
01/04/2024,K232808,Butterfly iQ3 Ultrasound System,"Butterfly Network, Inc.",Radiology,IYN
01/03/2024,K231779,REMI AI Discrete Detection Module,"Epitel, Inc.",Neurology,OMB
12/26/2023,K231130,TumorSight Viz,"SimBioSys, Inc.",Radiology,QIH
12/22/2023,K232535,MAGNETOM Sola; MAGNETOM Altea,"Siemens Medical Solutions USA, Inc.",Radiology,LNH
12/22/2023,K232479,ART-Plan,TheraPanacea,Radiology,MUJ
12/22/2023,K231805,qXR-LN,Qure.ai Technologies,Radiology,MYN
12/21/2023,K233112,HM70 EVO Diagnostic Ultrasound System,"Samsung Medison CO., LTD.",Radiology,IYN
12/20/2023,K233176,uOmnispace.MI,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,LLZ
12/20/2023,K230850,United Orthopedic Knee Patient Specific Instrumentation,"Enhatch, Inc.",Orthopedic,OOG
12/18/2023,K231587,MAGNETOM Cima.X,"Siemens Medical Solutions USA, Inc.",Radiology,LNH
12/18/2023,K231929,iQ-solutions,Sydney Neuroimaging Analysis Centre Pty Ltd,Radiology,QIH
12/15/2023,K230751,EW10-EC02 Endoscopy Support Program,FUJIFILM Corporation,Gastroenterology-Urology,QNP
12/15/2023,K232384,Videa Dental Assist,"VideaHealth, Inc.",Radiology,MYN
12/14/2023,K231570,StrokeViewer Perfusion,NICo-Lab B.V.,Radiology,LLZ
12/13/2023,K232231,QP-Brain®,Quibim S.L.,Radiology,QIH
12/13/2023,K232237,Tyto Insights for Wheeze Detection,Tyto Care Ltd.,Anesthesiology,PHZ
12/12/2023,DEN230027,NaviCam ProScan,"	
Ankon Technologies co., ltd",Gastroenterology-Urology,QZF
12/11/2023,K232096,Transpara Density 1.0.0,Screenpoint Medical B.V.,Radiology,QIH
12/08/2023,K231898,DTX Studio Clinic (4.0),Nobel Biocare AB,Radiology,LLZ
12/08/2023,K223757,Bonelogic,Disior Ltd,Radiology,LLZ
12/07/2023,K232381,LOGIQ Totus,"GE Medical Systems Ultrasound and Primary care Diagnostics,",Radiology,IYN
12/07/2023,K232661,Myocardial Strain Software Application,Circle Cardiovascular Imaging,Radiology,LLZ
12/06/2023,K233334,Aquilion Serve SP (TSX-307B/1) V1.3,Canon Medical Systems Corporation,Radiology,JAK
12/06/2023,K233562,LINQ II Insertable Cardiac Monitor,"Medtronic, Inc.",Cardiovascular,MXD
12/05/2023,K232440,Adravision Perio,Adra Corporation,Radiology,QIH
12/05/2023,K233568,Ceevra Reveal 3+,"Ceevra, Inc.",Radiology,QIH
12/01/2023,K232856,Syngo Carbon Clinicals,Siemens Healthcare GmbH,Radiology,QIH
11/30/2023,K233545,EPIQ Series Diagnostic Ultrasound System,Philips Ultrasound LLC,Radiology,IYN
11/29/2023,K230179,6440 MyLabX90,Esaote S.p.A.,Radiology,IYN
11/28/2023,K231631,BriefCase-Quantification,"Aidoc Medical, Ltd.",Radiology,JAK
11/28/2023,K232000,syngo.via MI Workflows; Scenium; syngo MBF,"Siemens Medical Solutions USA, Inc.",Radiology,QIH
11/27/2023,K233243,ClearPoint System (Software Version 2.2),ClearPoint Neuro Inc.,Neurology,HAW
11/21/2023,K232496,Brainomix 360 Triage Stroke,Brainomix Limited,Radiology,QAS
11/17/2023,K232501,AI Platform (AIP001),Exo Inc,Radiology,QIH
11/15/2023,K232841,Axial3D Insight,Axial Medical Printing Limited,Radiology,QIH
11/14/2023,K232494,MAGNETOM Avanto fit; MAGNETOM Skyra fit,"Siemens Medical Solutions USA, Inc.",Radiology,LNH
11/13/2023,K232083,BriefCase-Quantification,"Aidoc Medical, Ltd.",Radiology,QIH
11/13/2023,K232257,Clarius Bladder AI,Clarius Mobile Health Corp.,Radiology,QIH
11/09/2023,K223754,BraveCX,Bering Ltd,Radiology,QFM
11/09/2023,K231617,MAGNETOM Free.Max; MAGNETOM Free.Star,"Siemens Medical Solutions USA, Inc.",Radiology,LNH
11/08/2023,K230534,BriefCase-Quantification,"Aidoc Medical, Ltd.",Radiology,QIH
11/08/2023,K231765,Contour ProtégéAI,MIM Software Inc.,Radiology,QKB
11/07/2023,K231966,LOGIQ E10,"GE Medical Systems Ultrasound and Primary care Diagnostics,",Radiology,IYN
11/07/2023,K231989,"LOGIQ E10s, LOGIQ Fortis","GE Medical Systems Ultrasound and Primary Care Diagnostic,",Radiology,IYN
11/06/2023,K231470,Lunit INSIGHT DBT,Lunit Inc.,Radiology,QDQ
11/03/2023,K231955,aprevo® Digital Segmentation,"Carlsmed, Inc.",Radiology,QIH
10/30/2023,K232751,BriefCase-Triage,"Aidoc Medical, Ltd.",Radiology,QAS
10/30/2023,K231965,"Voluson Expert 22, Voluson Expert 20, Voluson Expert 18","GE Medical Systems Ultrasound and Primary Care Diagnostics,",Radiology,IYN
10/30/2023,K232145,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.",Radiology,IYN
10/27/2023,K232045,MeVis Liver Suite,MeVis Medical Solutions AG,Radiology,JAK
10/27/2023,K230854,SwiftMR,AIRS Medical Inc.,Radiology,LLZ
10/26/2023,K232500,Lumify Diagnostic Ultrasound System,Philips Ultrasound,Radiology,IYN
10/25/2023,K230842,SignalHF (IM008),Implicity Inc.,Cardiovascular,QNL
10/25/2023,K232436,Rapid SDH,"iSchemaView, Inc.",Radiology,QAS
10/23/2023,K232305,AI-Rad Companion Brain MR,Siemens Medical Solutions U.S.A.,Radiology,QIH
10/23/2023,K231560,MAGNETOM Vida; MAGNETOM Lumina; MAGNETOM Aera; MAGNETOM Skyra; MAGNETOM Prisma; MAGNETOM Prisma fit,"Siemens Medical Solutions USA, Inc.",Radiology,LNH
10/23/2023,K231764,Ultrasound System 1300,BK Medical Aps,Radiology,IYN
10/20/2023,K230209,Sonix Health,"Ontact Health Co., Ltd.",Radiology,QIH
10/13/2023,K231642,Veuron-Brain-pAb3,"Heuron Co., Ltd.",Radiology,LLZ
10/13/2023,K230370,SpotLight/SpotLight Duo (with DLIR option),Arineta Ltd.,Radiology,JAK
10/11/2023,K230220,NeuViz 128 Multi-Slice CT Scanner System,"Neusoft Medical Systems Co., Ltd.",Radiology,JAK
10/06/2023,K230144,Denti.AI Detect,"Denti.AI Technology, Inc.",Radiology,MYN
10/06/2023,K223905,Vivio® LVEDP System,"Avicena, LLC",Cardiovascular,QUO
10/06/2023,K232787,ScanNav Anatomy Peripheral Nerve Block,Intelligent Ultrasound Limited,Anesthesiology,QRG
10/06/2023,K232760,Swoop® Portable MR Imaging System®,"Hyperfine, Inc.",Radiology,LNH
10/05/2023,K232367,cmAngio® V1.0,"CureMetrix, Inc.",Radiology,QIH
10/05/2023,K232704,Clarius Ultrasound Scanner,Clarius Mobile Health Corp.,Radiology,IYN
10/05/2023,K231001,DeepTek CXR Analyzer v1.0,DeepTek Medical Imaging Pvt Ltd,Radiology,MYN
10/04/2023,K232023,Momentum Spine,Momentum Health Inc.,Radiology,LDK
10/04/2023,K231025,EFAI NeuroSuite CT ICH Assessment System,"Ever Fortune.AI Co., Ltd.",Radiology,QAS
10/04/2023,K231398,VUNO Med-DeepBrain,VUNO Inc.,Radiology,QIH
10/03/2023,K232712,uMI Panorama,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,KPS
10/03/2023,K231772,"V8/H8 Diagnostic Ultrasound System, V7/H7 Diagnostic Ultrasound System, V6/H6 Diagnostic Ultrasound System","Samsung Medison Co., Ltd.",Radiology,IYN
10/03/2023,K230085,Lung-CAD,"Imagen Technologies, Inc",Radiology,MYN
09/29/2023,K230045,HipCheck,Stryker Corp.,Radiology,QIH
09/28/2023,K231837,Brainomix 360 Triage LVO,Brainomix Limited,Radiology,QAS
09/28/2023,K232699,Low Ejection Fraction AI-ECG Algorithm,"Anumana, Inc.",Cardiovascular,QYE
09/27/2023,K232616,Volta AF-Xplorer,Volta Medical,Cardiovascular,DQK
09/26/2023,K230252,OFIX MIS App,Orthofix US LLC,Radiology,LLZ
09/25/2023,K231928,EFAI RTSUITE CT HCAP-Segmentation System,"Ever Fortune.AI Co., Ltd.",Radiology,QKB
09/22/2023,K231767,Annalise Enterprise CTB Triage Trauma,Annalise-AI Pty Ltd,Radiology,QAS
09/22/2023,K231149,qXR-CTR,Qure.ai Technologies,Radiology,QIH
09/22/2023,K223659,Jazz,AI Medical AG,Radiology,LLZ
09/22/2023,K231384,Annalise Enterprise CTB Triage Trauma,Annalise-AI Pty Ltd.,Radiology,QAS
09/21/2023,K231678,Overjet Periapical Radiolucency Assist,"Overjet, Inc",Radiology,MYN
09/19/2023,K231281,Aquilion Serve (TSX-307A/1) V1.3,Canon Medical Systems Corporation,Radiology,JAK
09/19/2023,K221309,AI100 with Shonit,SigTuple Technologies Pvt. Ltd.,Hematology,JOY
09/14/2023,K220034,NEUROShield,In-Med Prognostics L3C,Radiology,LLZ
09/13/2023,K223811,Lung-CAD,"Imagen Technologies, Inc",Radiology,MYN
09/12/2023,K231748,Cartesion Prime (PCD-1000A/3) V10.15,Canon Medical Systems Corporation,Radiology,KPS
09/12/2023,K232526,"XIDF-AWS801, Angio Workstation (Alphenix Workstation), V9.5",Canon Medical Systems Corporation,Radiology,JAA
09/09/2023,K223864,"Alignment System Cranial, Alignment Software Cranial, Cirq Alignment Software Cranial Biopsy, Cirq Alignment Software Cranial sEEG, Varioguide Alignment Software Cranial",Brainlab AG,Neurology,HAW
09/08/2023,K231335,Cleerly ISCHEMIA,"Cleerly, Inc",Cardiovascular,QXZ
09/08/2023,K232686,CorVista® System,"CorVista Health, Inc.",Cardiovascular,QXX
09/08/2023,K222921,Minuteful-kidney test,Healthy.io Ltd.,Clinical Chemistry,JIR
09/08/2023,K223621,DeepXray,"Alpha Intelligence Manifolds, Inc.",Radiology,QIH
09/07/2023,K231207,"CARTO 3 EP Navigation System Software V8.0 (FG-5400-00, FG-5400-00U)","Biosense Webster, Inc.",Cardiovascular,DQK
09/06/2023,K232482,MAGNETOM Viato.Mobile,"Siemens Medical Solutions USA, Inc.",Radiology,LNH
09/01/2023,K223622,FaceHeart Vitals Software Development Kit (FH vitals SDK),FaceHeart Corp.,Cardiovascular,QME
08/30/2023,K230355,"Vantage Galan 3T, MRT-3020, V9.0 with AiCE Reconstruction Processing Unit for MR",Canon Medical Systems Corporation,Radiology,LNH
08/28/2023,K223639,VisAble.IO,TechsoMed,Radiology,QTZ
08/25/2023,K223180,AIRAscore,AIRAmed GmbH,Radiology,LLZ
08/23/2023,K230812,Withings Scan Monitor 2.0,Withings,Cardiovascular,DPS
08/22/2023,K230899,qXR-PTX-PE,Qure.ai Technologies,Radiology,QFM
08/18/2023,K223539,Dreem 3S,"Beacon Biosignals, Inc.",Neurology,OLZ
08/15/2023,K231094,Annalise Enterprise CTB Triage-OH,Annalise-AI Pty Ltd,Radiology,QAS
08/03/2023,DEN230003,Viz HCM,"Viz.ai, Inc.",Cardiovascular,QXO
08/03/2023,K223133,VisiRad XR,Imidex Inc.,Radiology,MYN
08/02/2023,K223553,"Spine Planning (2.0), Elements Spine Planning, Elements Planning Spine",Brainlab AG,Neurology,OLO
07/27/2023,K231195,Brainomix 360 Triage ICH,Brainomix Limited,Radiology,QAS
07/27/2023,K230074,Rapid Aneurysm Triage and Notification,iSchemaView Inc.,Radiology,QFM
07/26/2023,K231038,Global Hypoperfusion Index (GHI) Algorithm,"Edwards Lifesciences, LLC",Cardiovascular,QNL
07/26/2023,K231572,uMI Panorama,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,KPS
07/25/2023,K230913,ANDI,"Imeka Solutions, Inc.",Radiology,QIH
07/25/2023,K223473,ME-APDS; MAGENTIQ-COLO,Magentiq Eye LTD,Gastroenterology-Urology,QNP
07/25/2023,K230365,Sonio Detect,Sonio,Radiology,IYN
07/24/2023,K223347,UltraSight AI Guidance,UltraSight Inc.,Radiology,QJU
07/21/2023,K230150,OptimMRI,"RebrAIn, SAS",Radiology,QIH
07/21/2023,K223288,"Cranial Navigation, Navigation Software Cranial, Navigation Software Craniofacial, Cranial EM System, Automatic Registration iMRI",Brainlab AG,Neurology,HAW
07/21/2023,K231173,Irregular Rhythm Notification Feature (IRNF),Apple Inc.,Cardiovascular,QDB
07/20/2023,K230039,uOmnispace,"Shanghai United Imaging Healthcare Co., Ltd",Radiology,QIH
07/19/2023,K231157,syngo.CT Lung CAD (Version VD30),Siemens Healthcare GmbH,Radiology,OEB
07/14/2023,K223106,"Brainlab Elements Image Fusion, Contouring (4.5);Image Fusion  (4.5);Fibertracking (2.0);BOLD MRI Mapping  (1.0);Image Fusion Angio  (1.0)",Brainlab AG,Radiology,QIH
07/14/2023,K231757,Ez3D-i /E3,"Ewoosoft Co., Ltd",Radiology,QIH
07/13/2023,K231833,Biograph Vision.X and Biograph Vision.X Edge,"Siemens Medical Solutions USA, Inc.",Radiology,KPS
07/13/2023,K223424,Spine Auto Views,GE Medical Systems SCS,Radiology,JAK
07/13/2023,K223426,ECHELON Synergy MRI system,FUJIFILM Healthcare Corporation,Radiology,LNH
07/12/2023,K230823,AusculThing ACC,AusculThing Oy,Cardiovascular,DQD
07/10/2023,K223724,MOZI TPS,"Manteia Technologies Co., Ltd.",Radiology,MUJ
07/07/2023,K231668,Spine CAMP (1.1),"Medical Metrics, Inc.",Radiology,QIH
07/03/2023,K222745,Axial3D Insight,Axial Medical Printing Limited,Radiology,QIH
06/29/2023,DEN200052,KidneyIntelX.dkd,"Renalytix AI, Inc.",Clinical Chemistry,QWZ
06/29/2023,K230337,EarliPoint,"EarliTec Diagnostics, Inc",Neurology,QPF
06/22/2023,K230497,Bladder AI (AIBV01),Exo Inc,Radiology,QIH
06/20/2023,K231459,HepaFatSmart (V2.0.0),Resonance Health Analysis Services Pty Ltd,Radiology,LNH
06/20/2023,K230346,Voluson SWIFT; Voluson SWIFT+,"GE Medical Systems Ultrasound & Primary Care Diagnostic, LLC",Radiology,IYN
06/16/2023,K223556,DeepCatch,"MEDICALIP Co., Ltd",Radiology,QIH
06/16/2023,K223646,IB Lab LAMA,IB Lab GmbH,Radiology,QIH
06/16/2023,K223357,EyeArt v2.2.0,"Eyenuk, Inc.",Ophthalmic,PIB
06/13/2023,K230112,CAC Software,"Imbio, Inc.",Radiology,JAK
06/06/2023,K223855,"FEops HEARTguideTM, FEops HEARTguideTM ALPACA",FEops nv,Radiology,QIH
05/30/2023,K223523,Sonic DL,"GE Medical Systems,LLC (GE Healthcare)",Radiology,LNH
05/25/2023,K230273,Saranas Early Bird Bleed Monitoring System,Saranas Inc.,Cardiovascular,QFJ
05/25/2023,K223491,"Critical Care Suite with Pneumothorax Detection AI Algorithm, Critical Care Suite 2.1, Critical Care Suite","GE Medical Systems, LLC",Radiology,QBS
05/23/2023,K223504,Ceribell Status Epilepticus Monitor,"Ceribell, Inc.",Neurology,OMB
05/23/2023,K230096,Genius AI Detection 2.0 with CC-MLO Correlation,"Hologic, Inc.",Radiology,QDQ
05/19/2023,K231143,GI Genius System 100 and GI Genius System 200,Cosmo Artificial Intelligence - AI Ltd,Gastroenterology-Urology,QNP
05/19/2023,K212758,Autoplaque,Cedars-Sinai Medical Center: AIM,Radiology,LLZ
05/17/2023,K222728,Radiation Planning Assistant (RPA),"University of Texas, MD Anderson Cancer Center",Radiology,MUJ
05/12/2023,K231190,EPIQ Series Diagnostic Ultrasound System,Philips Ultrasound LLC,Radiology,IYN
05/11/2023,K223623,SubtleMR (2.3.x),Subtle Medical Inc.,Radiology,LLZ
05/10/2023,K220437,Neurophet AQUA,"NEUROPHET, Inc.",Radiology,LLZ
05/04/2023,K230082,Auto Segmentation,"GE Medical Systems, LLC",Radiology,QKB
05/04/2023,K223771,Lumify Diagnostic Ultrasound System,Philips Ultrasound,Radiology,IYN
05/02/2023,K230292,Samsung ECG Monitor Application with Irregular Heart Rhythm Notification,"Samsung Electronics Co., Ltd",Cardiovascular,QDA
05/02/2023,K230977,SIS System,"Surgical Information Sciences, Inc.",Radiology,QIH
04/28/2023,P210011,xT CDx,"Tempus Labs, Inc.",Pathology,PQP
04/27/2023,K223212,Precision DL,GE Healthcare,Radiology,KPS
04/27/2023,K223734,ENT EM,Brainlab AG,Neurology,PGW
04/26/2023,K230552,MR DWI/FLAIR Measurement V1.0,Olea Medical,Radiology,LLZ
04/26/2023,K230553,"LINQ II Insertable Cardiac Monitor, CareLink SmartSync LINQ II ICM Application","Medtronic, Inc.",Cardiovascular,MXD
04/25/2023,K230223,iCAC Device,"Bunkerhill, Inc",Radiology,JAK
04/25/2023,K222676,Ceevra Reveal 3,"Ceevra, Inc.",Radiology,QIH
04/21/2023,K230084,HERA W10 Diagnostic Ultrasound System; HERA W9 Diagnostic Ultrasound System,"Samsung Medison CO., LTD.",Radiology,IYN
04/21/2023,K223501,ViewFinder Software Version 1.1,Elaitra Ltd,Radiology,QIH
04/20/2023,K223287,Velacur,Sonic Incytes,Radiology,IYO
04/20/2023,K230807,Deep Learning Image Reconstruction,GE Healthcare Japan Corporation,Radiology,JAK
04/19/2023,K230023,ART-Plan,Therapanacea SAS,Radiology,QKB
04/19/2023,K223552,"Brainlab Elements  Trajectory Planning (2.6), Elements Stereotaxy, Elements Lead Localization, Elements Trajectory Planning Cranial",Brainlab AG,Neurology,HAW
04/17/2023,K230772,Quantib Prostate,Quantib BV,Radiology,LLZ
04/14/2023,K230685,AutoContour Model RADAC V3,"Radformation, Inc.",Radiology,QKB
04/13/2023,K230264,Ezra Flash,"Ezra AI, Inc.",Radiology,LLZ
04/13/2023,K213986,CerebralGo Plus,"Yukun (Beijing) Technology Co., Ltd",Radiology,QIH
04/11/2023,K223830,Ultrasound System 2300,BK Medical Aps,Radiology,IYN
04/07/2023,K230658,SKOUT® system,Iterative Scopes Inc.,Gastroenterology-Urology,QNP
04/07/2023,K230575,Limbus Contour,Limbus AI Inc.,Radiology,LLZ
04/06/2023,K222360,AI-Rad Companion (Cardiovascular),Siemens Medical Solutions U.S.A.,Radiology,JAK
04/06/2023,K223458,"Ingenia, Ingenia CX, Ingenia Elition, Ingenia Ambition, MR 5300 and MR 7700 MR Systems",Philips Medical Systems Nederland B.V.,Radiology,LNH
04/06/2023,K223774,Contour ProtégéAI,MIM Software Inc.,Radiology,QKB
04/05/2023,K223630,"Reveal LINQ Insertable Cardiac Monitor, LINQ II Insertable Cardiac Monitor, AccuRhythm AI ECG Classification System","Medtronic, Inc.",Cardiovascular,MXD
04/03/2023,K223240,Annalise Enterprise CTB Triage Trauma,Annalise-AI Pty Ltd,Radiology,QAS
03/31/2023,K220068,Butterfly iQ/iQ+ Ultrasound System,"Butterfly Network, Inc.",Radiology,IYO
03/31/2023,K213272,Formus Hip,"Formus Labs, Ltd",Radiology,QIH
03/31/2023,DEN200011,Masimo SafetyNet,Masimo Corporation,Anesthesiology,QVT
03/29/2023,K222312,RayStation 12A,RaySearch Laboratories AB (publ),Radiology,MUJ
03/28/2023,K221921,DTX Studio Clinic 3.0,Nobel Biocare AB,Radiology,MYN
03/28/2023,K222174,RadioLens v1.0,Synapsica,Radiology,QIH
03/28/2023,K222179,Annalise Enterprise CXR Triage Trauma,Annalise-AI Pty Ltd,Radiology,QFM
03/28/2023,K222268,Annalise Enterprise CXR Triage Trauma,Annalise-AI Pty Ltd,Radiology,QFM
03/28/2023,K223343,MAGNETOM Amira; MAGNETOM Sempra,Siemens Medical Solutions USA Inc.,Radiology,LNH
03/27/2023,K222746,Overjet Caries Assist,"Overjet, Inc.",Radiology,MYN
03/22/2023,K222036,MPXA-2000,"Medipixel, Inc.",Radiology,QIH
03/21/2023,K223490,FlightPlan for Embolization,GE Medical Systems SCS,Radiology,LLZ
03/17/2023,K223443,Viz AAA,"Viz. ai, Inc.",Radiology,QFM
03/17/2023,K223073,Alio,"Alio, Inc.",Cardiovascular,DRG
03/17/2023,K221772,NeuroRPM,New Touch Digital Inc.,Neurology,GYD
03/10/2023,K223325,uMI Panorama,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,KPS
03/09/2023,K223514,Spectral Bone Marrow,"GE Medical Systems, LLC",Radiology,JAK
03/09/2023,K221706,AccuContour,"Manteia Technologies Co., Ltd.",Radiology,QKB
03/07/2023,K223726,Aquilion Precision (TSX-304A/4) V10.14 with AiCE,Canon Medical Systems Corporation,Radiology,JAK
03/03/2023,K222819,Aquilion Serve (TSX-307A/1) V1.2 with AiCE-i,Canon Medical Systems Corporation,Radiology,JAK
03/02/2023,K222176,BoneView,Gleamer,Radiology,QBS
03/02/2023,K222884,Rapid NCCT Stroke,"iSchemaView, Inc.",Radiology,QAS
03/01/2023,K221680,Xeleris V Processing and Review System,GE Healthcare,Radiology,LLZ
02/24/2023,DEN220063,Caption Interpretation Automated Ejection Fraction Software,"Caption Health, Inc",Radiology,QVD
02/24/2023,K221592,AVIEW Lung Nodule CAD,"Coreline Soft Co.,Ltd.",Radiology,OEB
02/23/2023,K222579,Belun Sleep System BLS-100,Belun Technology Company Limited,Anesthesiology,MNR
02/23/2023,K221564,Brainomix 360 e-ASPECTS,Brainomix Limited,Radiology,POK
02/22/2023,K230197,BoneMRI v1.6,MRIguidance B.V.,Radiology,QIH
02/22/2023,K230208,Swoop® Portable MR Imaging System,"Hyperfine, Inc.",Radiology,LNH
02/17/2023,DEN210022,PMD-200,Medasense Biometrics Ltd.,Anesthesiology,QVE
02/16/2023,K223028,uCT ATLAS Astound with uWS-CT-Dual Energy Analysis,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,JAK
02/16/2023,K222755,uMR 680,"Shanghai United Imaging Intelligence Co., Ltd.",Radiology,LNH
02/15/2023,K222389,ZEUS System,"iRhythm Technologies, Inc.",Cardiovascular,DQK
02/13/2023,K223439,SIGNA Victor,GE Healthcare (Tianjin) Company Limited,Radiology,LNH
02/13/2023,K223387,"V8 Diagnostic Ultrasound System, V7 Diagnostic Ultrasound System","Samsung Medison Co., Ltd.",Radiology,IYN
02/06/2023,K223296,Videa Perio Assist,"VideaHealth, Inc.",Radiology,QIH
02/02/2023,K222803,Oncospace,"Oncospace, Inc.",Radiology,MUJ
02/01/2023,K222970,LVivo IQS,DiA Imaging Analysis Ltd,Radiology,QIH
02/01/2023,K223396,Rapid RV/LV,iSchema View Inc.,Radiology,QIH
02/01/2023,K230020,BriefCase,"Aidoc Medical, Ltd.",Radiology,QFM
01/27/2023,K221868,QOCA image Smart CXR Image Processing System,Quanta Computer Inc.,Radiology,QFM
01/23/2023,K222406,Clarius AI,Clarius Mobile Health Corp.,Radiology,QIH
01/21/2023,K223516,VX1+,Volta Medical,Cardiovascular,DQK
01/18/2023,K222593,TruPlan Computed Tomography (CT) Imaging Software,"Circle Cardiovascular Imaging, Inc.",Radiology,LLZ
01/13/2023,K223502,MR Diffusion Perfusion Mismatch V1.0,Olea Medical,Radiology,LLZ
01/12/2023,K222458,AIBOLIT 3D+,"Aibolit Technologies, LLC",Radiology,LLZ
01/11/2023,K223738,Alpha Control Liner System (ACLS),Coapt,Neurology,GXY
12/23/2022,K214036,AVIEW,"Coreline Soft Co.,Ltd.",Radiology,QIH
12/23/2022,K223442,MR 5300 and MR 7700 R11 MR Systems,Philips Medical Systems Nederlands B.V.,Radiology,LNH
12/22/2022,K223311,Philips CT 3500,"Philips Healthcare (Suzhou) Co., Ltd",Radiology,JAK
12/16/2022,K220928,Overjet Calculus Assist,Overjet Inc.,Radiology,MYN
12/16/2022,K223268,BrainInsight,"Hyperfine, Inc.",Radiology,QIH
12/16/2022,K222275,Saige-Density,"DeepHealth, Inc.",Radiology,QIH
12/06/2022,K223247,Swoop Portable MR Imaging System,"Hyperfine, Inc.",Radiology,LNH
12/05/2022,K222692,BriefCase,"Aidoc Medical, Ltd.",Radiology,QFM
12/01/2022,K220786,STAR Apollo Mapping System,"Rhythm Al, Ltd",Cardiovascular,DQK
11/22/2022,K221624,Avenda Health AI Prostate Cancer Planning Software,"Avenda Health, Inc.",Radiology,POK
11/22/2022,K221716,CINA,AVICENNA.AI,Radiology,QAS
11/21/2022,K223032,SIS System (Version 5.6.0),"Surgical Information Sciences, Inc.",Radiology,QIH
11/18/2022,K221330,BriefCase,"Aidoc Medical, Ltd.",Radiology,QAS
11/16/2022,K221762,BoneMRI v1.4,MRlguidance B.V.,Radiology,QIH
11/14/2022,K222428,Syngo Dynamics (Version VA40F),"Siemens Medical Solutions USA, Inc.",Radiology,QIH
11/10/2022,K220408,AVIEW RT ACS,"Coreline Soft Co.,Ltd",Radiology,QKB
11/10/2022,K221183,AEYE-DS,"AEYE Health, Inc.",Ophthalmic,PIB
11/08/2022,K221552,EFAI ChestSuite XR Pneumothorax Assessment System,"Ever Fortune AI Co., Ltd.",Radiology,QFM
10/31/2022,P210015,Avive Automated External Defibrillator (AED) System,"Avive Solutions, Inc.",Cardiovascular,MKJ
10/27/2022,K220332,uMR Omega with uWS-MR-MRS,"Shanghai United Imaging Healthcare Co.,Ltd.",Radiology,LNH
